observation_key,licensor_resolution,resolved_licensor_id,resolved_licensor_name,normalized_observed_value,active_file_count,proposal_order,proposed_disposition,target_property_id,target_property_code,target_property_name,target_property_parent_licensor_id,rationale_code,create_candidate_code,create_candidate_name,classification_automatic,owner_activation_required,coldlion_phase5_overlap,coldlion_phase5_divisions,proposed_parent_evidence,current_accepted_relationship_count,currently_tagged_at_risk,cross_parent_proposal,fuzzy_similarity_used_for_selection,proposal_effective
14f2902d-42de-4820-83c5-e4f359a6e0d6|2025,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2025,210,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2026,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2026,208,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|creative rollouts,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,creative rollouts,9,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|disney shows,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,disney shows,2049,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,1002,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev 3 d toolkit evergreen guide,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev 3 d toolkit evergreen guide,289,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,168,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev line art style guide,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev line art style guide,414,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,91,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev saga poster style guide,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev saga poster style guide,137,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars classics guide product development portfolio,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars classics guide product development portfolio,33,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars comic book cover style guide,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars comic book cover style guide,53,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars comic crush,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars comic crush,67,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars custom command,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars custom command,63,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode ii attack of the clones,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode ii attack of the clones,1,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode iii revenge of the sith,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode iii revenge of the sith,8,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode iv a new hope portfolio,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode iv a new hope portfolio,12,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode ix rise of skywalker,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode ix rise of skywalker,5,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode v the empire strikes back portfolio,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode v the empire strikes back portfolio,222,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,18,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode vi return of the jedi,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode vi return of the jedi,5,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev star wars episode vii the force awakens,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev star wars episode vii the force awakens,6,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|ev terrain,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,ev terrain,60,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|holiday,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,holiday,791,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,22,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|mandalorian and grogu movie,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,mandalorian and grogu movie,106,8,deferred,,,,,single_similarity_hint_is_not_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|old,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,old,156,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,4,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|packaging,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,packaging,564,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,23,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|posters,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,posters,86,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|references,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,references,11,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|unsorted,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,unsorted,307,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|[blank],resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,,15,5,non_property,,,,,blank_property_observation,,,false,true,false,,,2,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|8 mile,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,8 mile,2,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|an american werewolf in london,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,an american werewolf in london,18,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|apollo 13,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,apollo 13,9,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|big lebowski,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,big lebowski,155,1,exact_existing,8140b36b-82d2-4289-b56f-d2cdfbcd1905,BK,BIG LEBOWSKI,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,155,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|bttf,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,bttf,365,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,192,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|casper,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,casper,219,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|cheech chongs next movie,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,cheech chongs next movie,14,8,deferred,,,,,single_similarity_hint_is_not_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|chucky,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,chucky,281,1,exact_existing,41fef4a7-4cd8-43ab-949f-fb19747fd328,CK,CHUCKY,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,595,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|curious george,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,curious george,831,1,exact_existing,6bb79348-9704-4fba-94e5-48bdef01c3ad,CG,CURIOUS GEORGE,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,888,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|dazed and confused,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,dazed and confused,53,1,exact_existing,3cd6ee16-8828-49aa-ab13-ca926d156d5c,DZ,DAZED AND CONFUSED,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,53,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|et,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,et,365,2,exact_existing,bb6b117f-dbf7-4261-9680-84bff7e214bc,ET,E.T. THE EXTRATERRESTRIAL,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_canonical_code_under_resolved_licensor,,,true,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|fast and the furious franchise,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,fast and the furious franchise,619,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|fast times at ridgemont high,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,fast times at ridgemont high,40,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|felix the cat,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,felix the cat,1998,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,125,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|field of dreams,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,field of dreams,19,1,exact_existing,f98b536b-8227-4c40-96eb-20be20019221,FD,FIELD OF DREAMS,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,23,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|gabbys dollhouse,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,gabbys dollhouse,1902,1,exact_existing,dabdc9d7-1556-4d96-abbd-7c6036bc8f2a,GD,GABBY'S DOLLHOUSE,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,1902,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|gam cleared editorial,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,gam cleared editorial,1,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|half baked,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,half baked,67,1,exact_existing,7164dc50-4c3a-42a1-90a1-9f9af1e8c0de,HB,HALF BAKED,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,67,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|halloween ii,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,halloween ii,176,1,exact_existing,132676c7-6d22-4f76-a8cb-be1928e43979,HN,HALLOWEEN II,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,246,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|happy gilmore,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,happy gilmore,99,1,exact_existing,9359cb30-a6b7-47ce-8915-7ada4cc8ad21,HG,HAPPY GILMORE,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,118,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|hot stuff,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,hot stuff,198,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|how high,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,how high,9,1,exact_existing,3d6fe703-af55-4ef8-8739-1bb940850853,HH,HOW HIGH,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,9,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|how to train your dragon,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,how to train your dragon,1535,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|jaws,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,jaws,500,1,exact_existing,8f723630-2d55-4a46-a9bd-abaa91d70d40,JW,JAWS,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,919,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|jurassic park,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,jurassic park,345,8,deferred,,,,,single_similarity_hint_is_not_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|jurassic world franchise,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,jurassic world franchise,2091,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|kung fu panda,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,kung fu panda,1325,1,exact_existing,5419699d-6dcf-4ed2-b1df-cf2f68591836,KP,KUNG-FU PANDA,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,1325,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|lamb chop,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,lamb chop,30,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|lassie,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,lassie,38,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|little drummer boy,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,little drummer boy,120,8,deferred,,,,,single_similarity_hint_is_not_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|little golden books,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,little golden books,246,1,exact_existing,79dd7c7b-f654-47f4-8319-8d1d5a594020,GB,LITTLE GOLDEN BOOKS,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,246,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|m3 gan,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,m3 gan,42,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|minions,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,minions,1284,1,exact_existing,eb50f543-5d10-4cc5-bb7e-824b8ad212b5,MN,MINIONS,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,1375,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|nbcu cleared editorial,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,nbcu cleared editorial,9,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|office,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,office,2531,8,deferred,,,,,single_similarity_hint_is_not_deterministic_evidence,,,false,true,false,,,1242,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|parks rec,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,parks rec,240,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|santa claus is coming to town,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,santa claus is coming to town,47,8,deferred,,,,,single_similarity_hint_is_not_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|saved by the bell,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,saved by the bell,589,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|scarface,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,scarface,218,1,exact_existing,923af469-f81f-48ec-ae6c-d0c18bf85414,SF,SCARFACE,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,422,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|shrek,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,shrek,1692,1,exact_existing,7865b410-afb6-4307-9560-4dfa2e5c3165,SH,SHREK,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,2720,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|slapshot,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,slapshot,9,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|target,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,target,174,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,53,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|the exorcist,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,the exorcist,93,7,canonical_create_candidate,,,,,exact_coldlion_phase5_candidate_with_resolved_popsg_parent_observation,EX,THE EXORCIST,false,true,true,CW001|SP001,resolved PopSG Licensor observation only; ColdLion supplies no parent; owner approval required,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|the land before time,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,the land before time,266,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|the lone ranger,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,the lone ranger,159,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|the mummy 1999,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,the mummy 1999,163,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|trolls,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,trolls,287,1,exact_existing,64660cdc-0134-48a0-bd28-d325572e7ea1,TR,TROLLS,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,288,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|universal monsters,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,universal monsters,542,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,629,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|voltron,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,voltron,580,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|welcome to extraordinary,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,welcome to extraordinary,138,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,73,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|wheres waldo,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,wheres waldo,63,1,exact_existing,89a72f5f-798b-4902-9aab-4f01204720aa,WA,WHERES WALDO,154bf54b-6f7d-4999-b0fb-c2828b12b56a,exact_normalized_canonical_name_under_resolved_licensor,,,true,true,false,,,63,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|wicked live action movie,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,wicked live action movie,1229,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|wicked live action part 2,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,wicked live action part 2,490,8,ambiguous,,,,,multiple_same_parent_or_phase5_review_candidates,,,false,true,false,,,0,false,false,false,false
154bf54b-6f7d-4999-b0fb-c2828b12b56a|woody woodpecker friends,resolved,154bf54b-6f7d-4999-b0fb-c2828b12b56a,NBC,woody woodpecker friends,1201,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,1201,false,false,false,false
1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb|[blank],resolved,1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb,SESAME STREET,,4,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb|baby art styleguides,resolved,1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb,SESAME STREET,baby art styleguides,294,5,non_property,,,,,psg1_structural_folder_pattern_candidate,,,false,true,false,,,0,false,false,false,false
1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb|core art,resolved,1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb,SESAME STREET,core art,475,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,65,false,false,false,false
